# time(ns)  Fourier    CSA-BTE   RTA-BTE
  0.164000     0.088404     0.455591     0.496779   
  0.164500     0.087746     0.453715     0.495208   
  0.165000     0.087093     0.451842     0.493640   
  0.165500     0.086444     0.449971     0.492074   
  0.166000     0.085800     0.448102     0.490512   
  0.166500     0.085161     0.446235     0.488952   
  0.167000     0.084527     0.444370     0.487395   
  0.167500     0.083897     0.442508     0.485841   
  0.168000     0.083273     0.440648     0.484290   
  0.168500     0.082653     0.438790     0.482742   
  0.169000     0.082038     0.436934     0.481197   
  0.169500     0.081427     0.435081     0.479655   
  0.170000     0.080821     0.433230     0.478115   
  0.170500     0.080220     0.431381     0.476578   
  0.171000     0.079624     0.429535     0.475045   
  0.171500     0.079032     0.427691     0.473514   
  0.172000     0.078445     0.425849     0.471986   
  0.172500     0.077862     0.424010     0.470461   
  0.173000     0.077284     0.422173     0.468939   
  0.173500     0.076711     0.420338     0.467420   
  0.174000     0.076142     0.418506     0.465904   
  0.174500     0.075578     0.416676     0.464390   
  0.175000     0.075018     0.414849     0.462880   
  0.175500     0.074462     0.413024     0.461372   
  0.176000     0.073911     0.411201     0.459868   
  0.176500     0.073365     0.409381     0.458366   
  0.177000     0.072822     0.407563     0.456868   
  0.177500     0.072285     0.405748     0.455372   
  0.178000     0.071751     0.403935     0.453879   
  0.178500     0.071221     0.402124     0.452389   
  0.179000     0.070696     0.400316     0.450903   
  0.179500     0.070175     0.398511     0.449419   
  0.180000     0.069658     0.396708     0.447938   
  0.180500     0.069146     0.394907     0.446460   
  0.181000     0.068637     0.393109     0.444985   
  0.181500     0.068132     0.391314     0.443513   
  0.182000     0.067631     0.389521     0.442044   
  0.182500     0.067134     0.387730     0.440578   
  0.183000     0.066641     0.385942     0.439114   
  0.183500     0.066152     0.384157     0.437654   
  0.184000     0.065667     0.382374     0.436197   
  0.184500     0.065185     0.380594     0.434743   
  0.185000     0.064708     0.378816     0.433292   
  0.185500     0.064234     0.377041     0.431844   
  0.186000     0.063763     0.375268     0.430398   
  0.186500     0.063297     0.373498     0.428956   
  0.187000     0.062833     0.371731     0.427517   
  0.187500     0.062374     0.369966     0.426080   
  0.188000     0.061918     0.368204     0.424647   
  0.188500     0.061466     0.366445     0.423217   
  0.189000     0.061017     0.364688     0.421790   
  0.189500     0.060571     0.362934     0.420365   
  0.190000     0.060129     0.361182     0.418944   
  0.190500     0.059690     0.359433     0.417526   
  0.191000     0.059255     0.357687     0.416111   
  0.191500     0.058823     0.355943     0.414698   
  0.192000     0.058395     0.354202     0.413289   
  0.192500     0.057969     0.352464     0.411883   
  0.193000     0.057547     0.350728     0.410479   
  0.193500     0.057128     0.348996     0.409079   
  0.194000     0.056713     0.347265     0.407682   
  0.194500     0.056300     0.345538     0.406288   
  0.195000     0.055891     0.343813     0.404896   
  0.195500     0.055484     0.342091     0.403508   
  0.196000     0.055081     0.340372     0.402123   
  0.196500     0.054681     0.338655     0.400741   
  0.197000     0.054284     0.336942     0.399362   
  0.197500     0.053890     0.335231     0.397985   
  0.198000     0.053499     0.333522     0.396612   
  0.198500     0.053110     0.331817     0.395242   
  0.199000     0.052725     0.330114     0.393875   
  0.199500     0.052343     0.328414     0.392511   
  0.200000     0.051963     0.326717     0.391149   
  0.200500     0.051586     0.325022     0.389791   
  0.201000     0.051212     0.323330     0.388436   
  0.201500     0.050841     0.321642     0.387084   
  0.202000     0.050472     0.319955     0.385735   
  0.202500     0.050106     0.318272     0.384389   
  0.203000     0.049743     0.316592     0.383045   
  0.203500     0.049383     0.314914     0.381705   
  0.204000     0.049025     0.313239     0.380368   
  0.204500     0.048669     0.311567     0.379034   
  0.205000     0.048316     0.309898     0.377703   
  0.205500     0.047966     0.308231     0.376375   
  0.206000     0.047618     0.306568     0.375049   
  0.206500     0.047272     0.304907     0.373727   
  0.207000     0.046929     0.303249     0.372408   
